University ID,University Name,Location (State),Tier,Type,Department,Entrance Exam Cut-off,Average GPA,Average Salary (INR),Percentage Placed,Faculty Members,Faculty with PhD (%),Student-to-Faculty Ratio
84,University 84,Maharashtra,Tier 1,Government,Computer Science,7304,6.53,1241763,76.72,90,61.03,18.18
84,University 84,Delhi,Tier 1,Private,Electrical Engineering,7171,8.53,1526408,91.67,196,52.61,11.23
84,University 84,Uttar Pradesh,Tier 1,Private,Mechanical Engineering,2537,8.32,1460248,86.76,117,71.72,16.9
85,University 85,Karnataka,Tier 3,Private,Computer Science,6413,8.82,1397353,99.12,82,49.84,15.1
85,University 85,Delhi,Tier 2,Government,Electrical Engineering,6774,6.72,1969332,86.39,135,72.23,13.58
85,University 85,Maharashtra,Tier 2,Private,Mechanical Engineering,8193,7.95,1448993,62.61,150,74.55,18.08
86,University 86,Karnataka,Tier 3,Private,Computer Science,7744,7.39,928138,91.02,70,31.74,12.8
86,University 86,Karnataka,Tier 1,Private,Electrical Engineering,9676,8.22,568854,85.71,162,74.91,18.0
86,University 86,Uttar Pradesh,Tier 2,Private,Mechanical Engineering,3822,8.15,1621836,96.25,133,30.13,17.61
87,University 87,Karnataka,Tier 1,Government,Computer Science,8167,7.27,1216383,86.17,126,38.79,21.98
87,University 87,Tamil Nadu,Tier 1,Private,Electrical Engineering,8183,9.46,331852,99.36,40,63.51,14.85
87,University 87,Karnataka,Tier 2,Private,Mechanical Engineering,9438,6.45,1749796,82.39,116,21.76,22.34
88,University 88,Uttar Pradesh,Tier 2,Private,Computer Science,7788,9.41,1446332,71.86,197,26.64,21.39
88,University 88,Maharashtra,Tier 3,Private,Electrical Engineering,3990,8.28,712104,74.31,150,72.79,17.88
88,University 88,Delhi,Tier 2,Private,Mechanical Engineering,2715,9.17,968590,67.65,94,59.07,19.31
89,University 89,Maharashtra,Tier 1,Private,Computer Science,2674,8.95,594746,85.37,144,60.57,14.88
89,University 89,Karnataka,Tier 3,Government,Electrical Engineering,7344,8.29,486368,93.48,106,24.62,15.11
89,University 89,Uttar Pradesh,Tier 1,Government,Mechanical Engineering,6925,7.26,927220,61.33,136,44.5,21.39
90,University 90,Karnataka,Tier 1,Government,Computer Science,1392,8.76,441521,86.03,153,60.24,18.41
90,University 90,Tamil Nadu,Tier 2,Private,Electrical Engineering,7701,7.61,1613379,75.26,54,44.77,22.04
90,University 90,Tamil Nadu,Tier 1,Government,Mechanical Engineering,1423,8.59,763001,98.65,169,71.5,14.38
91,University 91,Tamil Nadu,Tier 3,Private,Computer Science,6394,8.82,1817740,98.51,82,53.55,19.42
91,University 91,Maharashtra,Tier 3,Government,Electrical Engineering,8155,6.39,612229,64.81,183,25.79,13.63
91,University 91,Maharashtra,Tier 1,Private,Mechanical Engineering,2762,6.79,1441069,89.73,87,72.63,23.16
92,University 92,Delhi,Tier 2,Private,Computer Science,4198,8.19,585711,69.58,132,37.12,16.44
92,University 92,Tamil Nadu,Tier 2,Private,Electrical Engineering,2492,7.83,1005860,70.09,120,55.94,11.72
92,University 92,Delhi,Tier 1,Government,Mechanical Engineering,5577,9.08,1329127,80.7,194,24.93,23.66
93,University 93,Maharashtra,Tier 3,Private,Computer Science,7748,6.6,1822196,85.25,39,67.33,19.59
93,University 93,Karnataka,Tier 2,Private,Electrical Engineering,9770,8.28,1741985,70.86,110,64.62,17.59
93,University 93,Maharashtra,Tier 2,Government,Mechanical Engineering,7716,7.65,1324729,96.3,143,48.18,16.76
94,University 94,Delhi,Tier 1,Government,Computer Science,9333,8.14,1018675,68.28,160,52.22,22.81
94,University 94,Maharashtra,Tier 2,Private,Electrical Engineering,5650,8.95,1331008,73.55,104,46.31,13.28
94,University 94,Uttar Pradesh,Tier 3,Private,Mechanical Engineering,7376,7.39,1067524,71.38,36,26.83,15.18
95,University 95,Maharashtra,Tier 3,Government,Computer Science,6823,8.46,905842,78.02,146,36.48,15.92
95,University 95,Karnataka,Tier 3,Private,Electrical Engineering,7132,6.9,1551772,72.37,64,63.11,24.31
95,University 95,Delhi,Tier 1,Government,Mechanical Engineering,9365,6.18,1515468,93.18,196,56.23,20.3
96,University 96,Uttar Pradesh,Tier 2,Government,Computer Science,9611,7.29,858830,76.76,103,74.02,16.06
96,University 96,Tamil Nadu,Tier 3,Government,Electrical Engineering,6889,8.34,744865,95.52,29,50.13,12.08
96,University 96,Maharashtra,Tier 1,Government,Mechanical Engineering,1770,8.53,1410644,96.1,185,69.74,24.87
97,University 97,Uttar Pradesh,Tier 1,Government,Computer Science,3466,7.57,520972,75.97,120,27.38,18.38
97,University 97,Maharashtra,Tier 3,Private,Electrical Engineering,6624,6.24,1096948,87.7,165,44.23,11.16
97,University 97,Maharashtra,Tier 1,Private,Mechanical Engineering,4259,6.79,973218,78.0,191,75.0,16.46
98,University 98,Tamil Nadu,Tier 2,Government,Computer Science,2141,8.47,476806,80.47,175,45.83,12.14
98,University 98,Maharashtra,Tier 1,Government,Electrical Engineering,6906,6.09,1651099,75.16,182,40.44,11.08
98,University 98,Tamil Nadu,Tier 1,Government,Mechanical Engineering,2829,8.96,1689959,74.58,135,54.81,18.4
99,University 99,Karnataka,Tier 1,Government,Computer Science,7980,6.8,660890,81.28,64,43.05,10.58
99,University 99,Tamil Nadu,Tier 3,Private,Electrical Engineering,3309,8.65,415598,79.51,189,74.0,11.74
99,University 99,Uttar Pradesh,Tier 1,Government,Mechanical Engineering,7789,8.11,502747,81.82,48,37.3,24.42
100,University 100,Karnataka,Tier 1,Government,Computer Science,4807,7.19,1983523,99.2,68,51.94,12.53
100,University 100,Delhi,Tier 3,Government,Electrical Engineering,1946,7.25,964929,70.37,70,30.63,17.61
100,University 100,Karnataka,Tier 1,Private,Mechanical Engineering,1138,7.95,768466,66.61,43,79.98,12.26
101,University 101,Uttar Pradesh,Tier 3,Private,Computer Science,7652,9.48,1143601,84.94,171,57.24,13.02
101,University 101,Delhi,Tier 1,Government,Electrical Engineering,3660,7.9,1204850,65.29,110,74.57,20.83
101,University 101,Delhi,Tier 3,Private,Mechanical Engineering,7538,7.92,831972,91.77,39,48.01,10.52
102,University 102,Maharashtra,Tier 3,Government,Computer Science,5761,9.43,338635,90.18,89,55.32,15.63
102,University 102,Tamil Nadu,Tier 1,Private,Electrical Engineering,3454,7.35,493226,96.75,198,73.67,16.84
102,University 102,Karnataka,Tier 3,Government,Mechanical Engineering,7142,8.07,1499151,99.84,91,71.24,16.59
103,University 103,Maharashtra,Tier 1,Private,Computer Science,8742,9.09,630170,61.23,194,57.6,23.9
103,University 103,Uttar Pradesh,Tier 2,Government,Electrical Engineering,6845,8.53,942613,81.09,83,37.96,15.38
103,University 103,Uttar Pradesh,Tier 1,Private,Mechanical Engineering,1695,7.85,618766,99.62,133,60.61,22.43
104,University 104,Tamil Nadu,Tier 1,Private,Computer Science,1024,8.22,1081198,65.71,155,66.14,19.88
104,University 104,Maharashtra,Tier 3,Private,Electrical Engineering,4175,7.4,321281,63.11,147,61.24,10.37
104,University 104,Tamil Nadu,Tier 3,Private,Mechanical Engineering,8938,8.21,1934252,97.91,53,20.37,11.51
105,University 105,Uttar Pradesh,Tier 1,Government,Computer Science,8913,6.85,1298757,62.01,32,60.01,13.17
105,University 105,Uttar Pradesh,Tier 3,Government,Electrical Engineering,3951,7.02,1663837,70.65,137,39.29,17.15
105,University 105,Maharashtra,Tier 1,Government,Mechanical Engineering,6789,9.43,1470834,74.31,76,65.58,12.82
106,University 106,Uttar Pradesh,Tier 2,Private,Computer Science,6575,7.94,1898099,87.3,33,47.79,13.52
106,University 106,Delhi,Tier 3,Private,Electrical Engineering,7846,6.42,1536026,91.01,31,49.8,14.26
106,University 106,Uttar Pradesh,Tier 2,Government,Mechanical Engineering,8016,8.62,1176110,64.11,112,22.81,14.14
107,University 107,Maharashtra,Tier 3,Private,Computer Science,7056,7.19,380811,89.64,176,75.85,22.4
107,University 107,Tamil Nadu,Tier 3,Government,Electrical Engineering,6793,7.1,1838659,96.29,70,46.03,23.65
107,University 107,Karnataka,Tier 3,Government,Mechanical Engineering,9662,7.73,1964986,93.77,157,28.35,13.81
108,University 108,Tamil Nadu,Tier 1,Government,Computer Science,4607,8.66,682736,87.04,44,37.88,11.58
108,University 108,Tamil Nadu,Tier 3,Private,Electrical Engineering,2316,6.17,1103940,79.94,122,50.02,16.49
108,University 108,Uttar Pradesh,Tier 2,Government,Mechanical Engineering,6355,6.01,600486,90.7,160,44.95,20.79
109,University 109,Maharashtra,Tier 1,Private,Computer Science,4893,9.08,1769539,87.11,192,22.16,15.92
109,University 109,Karnataka,Tier 2,Government,Electrical Engineering,7469,8.26,778356,87.29,73,31.95,23.35
109,University 109,Karnataka,Tier 3,Government,Mechanical Engineering,2548,6.2,1090645,91.28,72,36.06,22.53
110,University 110,Delhi,Tier 1,Private,Computer Science,2815,8.93,1781571,97.95,182,49.57,16.06
110,University 110,Maharashtra,Tier 2,Private,Electrical Engineering,8703,8.54,1183096,98.54,109,60.65,14.68
110,University 110,Karnataka,Tier 3,Government,Mechanical Engineering,3745,9.0,987605,60.68,194,68.43,11.8
111,University 111,Delhi,Tier 1,Government,Computer Science,7198,7.81,1409816,74.87,35,54.09,19.95
111,University 111,Delhi,Tier 3,Private,Electrical Engineering,5402,6.08,828714,93.19,64,43.88,14.54
111,University 111,Tamil Nadu,Tier 1,Government,Mechanical Engineering,3204,6.86,1117563,78.94,143,48.43,10.87
112,University 112,Uttar Pradesh,Tier 1,Government,Computer Science,7683,8.72,1980912,69.02,125,73.76,22.71
112,University 112,Tamil Nadu,Tier 1,Government,Electrical Engineering,7410,9.44,1212743,96.26,114,60.45,13.9
112,University 112,Maharashtra,Tier 3,Private,Mechanical Engineering,1215,8.54,1325592,95.61,193,23.73,12.21
113,University 113,Delhi,Tier 1,Government,Computer Science,3295,6.47,982405,81.19,34,41.26,24.24
113,University 113,Delhi,Tier 2,Private,Electrical Engineering,3645,8.66,1117865,67.21,22,29.94,16.68
113,University 113,Karnataka,Tier 1,Government,Mechanical Engineering,9811,8.95,1311439,99.8,69,71.23,13.63
114,University 114,Maharashtra,Tier 3,Private,Computer Science,3743,8.49,1101881,80.9,95,35.57,16.55
114,University 114,Tamil Nadu,Tier 3,Government,Electrical Engineering,1619,8.77,1090074,74.2,36,77.61,17.82
114,University 114,Uttar Pradesh,Tier 2,Government,Mechanical Engineering,9711,6.57,1749991,90.92,113,58.44,20.0
115,University 115,Tamil Nadu,Tier 2,Private,Computer Science,7236,7.75,1950824,93.42,55,41.42,23.89
115,University 115,Uttar Pradesh,Tier 3,Government,Electrical Engineering,9148,6.78,1936091,67.12,74,63.73,11.43
115,University 115,Delhi,Tier 3,Government,Mechanical Engineering,5444,7.68,1694316,60.02,28,29.23,24.85
116,University 116,Uttar Pradesh,Tier 3,Government,Computer Science,4743,7.79,746790,74.87,167,65.26,23.78
116,University 116,Maharashtra,Tier 3,Government,Electrical Engineering,4929,7.25,1394316,70.04,110,44.94,22.71
116,University 116,Maharashtra,Tier 2,Private,Mechanical Engineering,4699,6.1,942762,90.07,152,22.16,12.63
117,University 117,Uttar Pradesh,Tier 1,Government,Computer Science,3780,7.51,689770,82.53,168,51.0,21.38
117,University 117,Tamil Nadu,Tier 1,Private,Electrical Engineering,8470,9.16,928889,95.7,168,65.79,22.35
117,University 117,Karnataka,Tier 3,Private,Mechanical Engineering,4180,8.07,732680,71.83,131,71.3,13.11
118,University 118,Maharashtra,Tier 3,Private,Computer Science,1270,9.08,478048,76.38,43,69.6,10.71
118,University 118,Karnataka,Tier 2,Government,Electrical Engineering,4607,7.23,647139,66.06,196,52.35,14.24
118,University 118,Delhi,Tier 1,Government,Mechanical Engineering,9445,7.91,1517192,60.0,73,41.73,20.85
119,University 119,Delhi,Tier 1,Private,Computer Science,6634,9.09,914741,89.17,95,33.46,19.95
119,University 119,Maharashtra,Tier 1,Government,Electrical Engineering,2849,7.06,728733,92.72,131,69.01,12.72
119,University 119,Tamil Nadu,Tier 3,Private,Mechanical Engineering,4811,9.45,1768919,90.5,73,55.44,19.92
120,University 120,Tamil Nadu,Tier 3,Government,Computer Science,4273,6.07,1838814,80.7,158,57.71,17.23
120,University 120,Maharashtra,Tier 3,Government,Electrical Engineering,6754,8.66,1084192,88.34,70,42.16,23.99
120,University 120,Uttar Pradesh,Tier 3,Private,Mechanical Engineering,2914,8.81,1414518,65.01,145,40.68,10.46
121,University 121,Maharashtra,Tier 1,Government,Computer Science,6260,6.75,760115,99.14,22,27.13,21.47
121,University 121,Delhi,Tier 3,Private,Electrical Engineering,5160,7.09,637369,66.52,51,43.23,23.6
121,University 121,Maharashtra,Tier 3,Government,Mechanical Engineering,2907,6.44,1090605,88.15,33,70.6,11.46
122,University 122,Tamil Nadu,Tier 1,Government,Computer Science,5997,7.91,1323920,81.63,46,48.94,11.78
122,University 122,Tamil Nadu,Tier 3,Private,Electrical Engineering,4663,6.46,563625,92.35,114,38.59,14.35
122,University 122,Tamil Nadu,Tier 1,Government,Mechanical Engineering,4277,8.19,705105,93.31,102,57.68,13.71
123,University 123,Karnataka,Tier 1,Government,Computer Science,6131,7.01,884010,67.66,159,57.28,15.01
123,University 123,Maharashtra,Tier 2,Government,Electrical Engineering,7261,6.86,1957888,71.43,131,40.01,20.16
123,University 123,Tamil Nadu,Tier 2,Private,Mechanical Engineering,3606,7.34,797952,85.67,154,57.94,12.98
124,University 124,Tamil Nadu,Tier 2,Government,Computer Science,5855,9.47,551671,71.05,124,78.82,11.01
124,University 124,Delhi,Tier 2,Government,Electrical Engineering,1517,7.92,1505565,82.22,101,62.27,16.34
124,University 124,Tamil Nadu,Tier 1,Private,Mechanical Engineering,8162,8.12,1109057,79.32,21,37.25,19.85
125,University 125,Uttar Pradesh,Tier 3,Government,Computer Science,2518,9.33,1154568,63.68,127,47.48,11.38
125,University 125,Uttar Pradesh,Tier 2,Government,Electrical Engineering,3849,8.46,1214565,70.04,29,47.04,20.08
125,University 125,Maharashtra,Tier 3,Private,Mechanical Engineering,6178,8.09,1901948,66.96,102,26.35,12.32
126,University 126,Tamil Nadu,Tier 2,Government,Computer Science,9751,6.02,1710295,83.5,117,42.41,10.76
126,University 126,Maharashtra,Tier 1,Government,Electrical Engineering,1816,7.9,1152050,98.3,183,63.54,19.26
126,University 126,Maharashtra,Tier 2,Private,Mechanical Engineering,2818,7.52,1761666,95.6,104,74.87,16.51
127,University 127,Karnataka,Tier 1,Government,Computer Science,9264,7.53,1023858,83.58,36,52.81,20.06
127,University 127,Uttar Pradesh,Tier 1,Private,Electrical Engineering,9560,8.86,1218638,89.55,66,21.77,15.34
127,University 127,Delhi,Tier 3,Private,Mechanical Engineering,5897,6.22,1638306,68.61,180,60.37,11.22
128,University 128,Uttar Pradesh,Tier 2,Private,Computer Science,5370,7.73,736542,81.77,193,43.85,17.7
128,University 128,Tamil Nadu,Tier 2,Private,Electrical Engineering,1690,8.7,1371824,96.83,153,67.98,15.0
128,University 128,Karnataka,Tier 1,Private,Mechanical Engineering,5744,6.12,1433754,78.17,77,34.9,20.58
129,University 129,Uttar Pradesh,Tier 2,Private,Computer Science,6738,9.28,478267,76.78,82,37.54,16.66
129,University 129,Maharashtra,Tier 1,Private,Electrical Engineering,9326,6.2,1902357,61.13,148,65.87,16.15
129,University 129,Uttar Pradesh,Tier 1,Government,Mechanical Engineering,2637,6.56,1615823,80.66,111,59.85,23.23
130,University 130,Delhi,Tier 3,Private,Computer Science,1802,8.82,952416,72.39,46,50.9,18.03
130,University 130,Delhi,Tier 1,Government,Electrical Engineering,4927,8.76,1067286,68.64,74,77.17,14.9
130,University 130,Uttar Pradesh,Tier 1,Private,Mechanical Engineering,3854,6.81,1371984,64.1,156,24.66,22.43
131,University 131,Maharashtra,Tier 2,Government,Computer Science,1086,8.93,1871286,78.47,177,46.35,19.16
131,University 131,Delhi,Tier 3,Government,Electrical Engineering,3700,8.53,463187,69.18,170,45.78,21.11
131,University 131,Delhi,Tier 2,Government,Mechanical Engineering,9837,8.76,1287797,81.65,177,21.15,12.49
132,University 132,Uttar Pradesh,Tier 3,Private,Computer Science,5729,7.24,1867739,83.29,181,51.15,19.12
132,University 132,Tamil Nadu,Tier 2,Government,Electrical Engineering,4453,9.36,684583,99.45,156,44.95,16.43
132,University 132,Tamil Nadu,Tier 3,Private,Mechanical Engineering,7318,8.64,531324,80.0,160,72.23,19.47
133,University 133,Delhi,Tier 1,Government,Computer Science,5927,9.27,861446,65.71,45,50.74,11.71
133,University 133,Uttar Pradesh,Tier 1,Government,Electrical Engineering,6126,8.71,1460294,76.77,81,67.57,11.04
133,University 133,Delhi,Tier 3,Government,Mechanical Engineering,4700,6.78,1527545,70.13,44,63.88,20.46
134,University 134,Maharashtra,Tier 1,Government,Computer Science,7773,8.77,825005,80.42,166,71.3,23.24
134,University 134,Tamil Nadu,Tier 3,Government,Electrical Engineering,5637,8.27,1896049,96.07,67,32.48,10.63
134,University 134,Karnataka,Tier 3,Government,Mechanical Engineering,6991,9.39,980667,81.82,68,24.45,15.63
135,University 135,Delhi,Tier 2,Government,Computer Science,1531,9.49,1833673,72.85,102,24.2,20.94
135,University 135,Tamil Nadu,Tier 3,Private,Electrical Engineering,6626,7.29,1741246,88.35,110,42.75,22.47
135,University 135,Maharashtra,Tier 1,Private,Mechanical Engineering,1670,8.82,1797404,64.15,67,23.99,21.5
136,University 136,Uttar Pradesh,Tier 2,Government,Computer Science,4439,8.63,1449734,87.1,118,60.27,19.31
136,University 136,Delhi,Tier 3,Government,Electrical Engineering,4163,6.68,1471675,75.63,164,35.49,19.08
136,University 136,Delhi,Tier 2,Private,Mechanical Engineering,1489,8.03,588213,90.33,95,48.44,20.75
137,University 137,Tamil Nadu,Tier 1,Private,Computer Science,8404,6.75,498237,94.75,157,50.42,12.82
137,University 137,Maharashtra,Tier 2,Private,Electrical Engineering,7539,7.55,698102,86.38,132,36.32,20.39
137,University 137,Tamil Nadu,Tier 2,Government,Mechanical Engineering,7204,7.14,1305535,67.64,141,36.71,19.82
138,University 138,Uttar Pradesh,Tier 3,Government,Computer Science,2230,8.72,768758,99.33,103,66.42,21.22
138,University 138,Maharashtra,Tier 1,Government,Electrical Engineering,7718,6.92,1167196,95.17,182,69.46,19.45
138,University 138,Uttar Pradesh,Tier 2,Government,Mechanical Engineering,3103,6.7,475607,73.01,176,46.19,20.0
139,University 139,Uttar Pradesh,Tier 2,Private,Computer Science,3378,8.84,1566556,62.69,195,69.6,23.55
139,University 139,Delhi,Tier 3,Government,Electrical Engineering,7623,8.36,1792418,99.91,182,54.27,14.56
139,University 139,Delhi,Tier 1,Government,Mechanical Engineering,3964,8.74,1428394,60.55,67,38.73,10.24
140,University 140,Uttar Pradesh,Tier 1,Private,Computer Science,7047,6.46,1956042,60.21,22,57.48,22.97
140,University 140,Uttar Pradesh,Tier 3,Government,Electrical Engineering,1067,9.47,1942878,89.32,93,28.31,18.68
140,University 140,Tamil Nadu,Tier 3,Private,Mechanical Engineering,1650,9.25,765590,84.74,78,48.16,16.65
141,University 141,Uttar Pradesh,Tier 2,Government,Computer Science,3217,8.5,1952632,80.16,51,47.29,20.12
141,University 141,Uttar Pradesh,Tier 3,Government,Electrical Engineering,4716,6.19,1218074,87.89,169,29.37,19.54
141,University 141,Karnataka,Tier 1,Government,Mechanical Engineering,1615,8.47,703157,83.19,112,76.92,10.91
142,University 142,Uttar Pradesh,Tier 1,Government,Computer Science,8226,8.45,1435371,78.19,39,77.66,18.04
142,University 142,Uttar Pradesh,Tier 2,Government,Electrical Engineering,4020,8.05,1570704,71.08,55,24.71,21.11
142,University 142,Karnataka,Tier 3,Private,Mechanical Engineering,8175,6.23,1699769,63.38,147,56.98,13.69
143,University 143,Tamil Nadu,Tier 3,Private,Computer Science,8212,9.42,1795991,67.87,107,73.07,11.88
143,University 143,Tamil Nadu,Tier 1,Private,Electrical Engineering,1464,8.18,1322582,84.76,114,66.55,11.92
143,University 143,Karnataka,Tier 3,Government,Mechanical Engineering,6750,7.39,1860336,94.1,113,38.36,18.28
144,University 144,Uttar Pradesh,Tier 2,Government,Computer Science,3411,6.59,1767130,78.76,121,76.54,11.12
144,University 144,Delhi,Tier 3,Government,Electrical Engineering,9775,7.54,506903,66.22,158,39.58,14.49
144,University 144,Karnataka,Tier 2,Government,Mechanical Engineering,8587,8.36,578495,99.01,45,68.54,12.2
145,University 145,Uttar Pradesh,Tier 3,Government,Computer Science,3011,8.16,1241245,65.49,29,50.33,12.16
145,University 145,Tamil Nadu,Tier 2,Government,Electrical Engineering,4216,7.55,1793726,72.26,76,62.91,14.23
145,University 145,Uttar Pradesh,Tier 1,Private,Mechanical Engineering,6208,8.01,1245522,99.67,164,71.73,14.71
146,University 146,Delhi,Tier 1,Private,Computer Science,3440,9.29,1151161,67.81,101,48.25,19.84
146,University 146,Karnataka,Tier 2,Government,Electrical Engineering,7587,7.26,585713,64.93,58,47.24,21.44
146,University 146,Delhi,Tier 1,Government,Mechanical Engineering,3032,6.61,1779634,89.45,109,72.18,16.04
147,University 147,Karnataka,Tier 3,Private,Computer Science,2695,6.98,1613982,82.84,72,36.72,13.28
147,University 147,Delhi,Tier 2,Private,Electrical Engineering,1719,7.0,1871836,83.06,91,42.27,21.78
147,University 147,Tamil Nadu,Tier 2,Government,Mechanical Engineering,1698,7.18,1993470,82.93,88,30.51,20.09
148,University 148,Maharashtra,Tier 3,Private,Computer Science,5820,9.06,975302,83.56,151,20.04,23.06
148,University 148,Uttar Pradesh,Tier 1,Private,Electrical Engineering,3547,8.63,1129365,70.61,148,41.07,11.41
148,University 148,Uttar Pradesh,Tier 2,Government,Mechanical Engineering,5204,9.31,636199,68.3,130,74.51,17.02
149,University 149,Maharashtra,Tier 1,Government,Computer Science,4343,8.15,1031893,77.2,164,62.24,24.03
149,University 149,Uttar Pradesh,Tier 1,Private,Electrical Engineering,2117,7.66,657546,61.22,168,22.73,19.7
149,University 149,Tamil Nadu,Tier 3,Government,Mechanical Engineering,3761,8.71,1820180,62.01,199,36.71,22.79
150,University 150,Maharashtra,Tier 2,Government,Computer Science,4072,8.79,1657642,77.96,28,40.16,16.99
150,University 150,Delhi,Tier 2,Government,Electrical Engineering,6048,6.66,318074,66.94,84,56.65,13.0
150,University 150,Tamil Nadu,Tier 3,Government,Mechanical Engineering,8850,8.28,1726912,69.48,104,70.1,23.91
151,University 151,Uttar Pradesh,Tier 2,Government,Computer Science,9684,8.89,1681173,63.5,196,34.07,15.18
151,University 151,Maharashtra,Tier 1,Government,Electrical Engineering,2874,8.23,834522,84.46,166,31.54,14.43
151,University 151,Delhi,Tier 3,Private,Mechanical Engineering,7320,6.99,526572,60.41,51,52.58,15.2
152,University 152,Karnataka,Tier 2,Government,Computer Science,6305,6.97,1010381,63.16,47,35.66,15.15
152,University 152,Maharashtra,Tier 3,Private,Electrical Engineering,5567,7.3,1368965,62.47,156,34.4,20.65
152,University 152,Delhi,Tier 1,Government,Mechanical Engineering,6698,6.86,1404381,62.4,92,65.07,21.31
153,University 153,Uttar Pradesh,Tier 3,Government,Computer Science,5247,8.86,1211289,97.66,132,20.41,13.19
153,University 153,Delhi,Tier 2,Government,Electrical Engineering,7305,9.0,1688977,95.82,151,38.83,20.37
153,University 153,Maharashtra,Tier 2,Government,Mechanical Engineering,5765,9.29,1508468,77.2,196,69.35,12.6
154,University 154,Delhi,Tier 1,Private,Computer Science,3341,8.39,1127385,72.0,199,64.03,19.48
154,University 154,Maharashtra,Tier 2,Government,Electrical Engineering,3672,6.16,880971,89.32,110,75.89,22.31
154,University 154,Tamil Nadu,Tier 2,Private,Mechanical Engineering,5440,9.3,1221287,93.06,80,66.8,11.48
155,University 155,Delhi,Tier 3,Government,Computer Science,5538,9.43,1762108,69.05,78,55.69,21.08
155,University 155,Karnataka,Tier 3,Private,Electrical Engineering,6898,7.86,1320747,94.92,142,64.89,18.42
155,University 155,Delhi,Tier 2,Private,Mechanical Engineering,4961,8.78,472646,98.79,181,23.02,10.79
156,University 156,Karnataka,Tier 1,Government,Computer Science,9469,6.79,1162318,82.98,189,69.41,22.31
156,University 156,Tamil Nadu,Tier 1,Private,Electrical Engineering,7845,8.82,534000,82.29,160,25.08,17.0
156,University 156,Delhi,Tier 2,Government,Mechanical Engineering,7509,6.64,1589660,83.06,46,66.89,14.14
157,University 157,Tamil Nadu,Tier 2,Government,Computer Science,8984,7.47,813953,61.31,24,38.71,13.75
157,University 157,Tamil Nadu,Tier 2,Private,Electrical Engineering,7928,9.25,883117,62.74,147,34.35,17.68
157,University 157,Tamil Nadu,Tier 3,Private,Mechanical Engineering,8504,8.27,449395,82.03,179,76.41,10.7
158,University 158,Delhi,Tier 1,Government,Computer Science,2073,6.37,422019,76.53,77,52.27,14.17
158,University 158,Karnataka,Tier 3,Private,Electrical Engineering,5827,9.18,444771,76.77,47,51.1,20.65
158,University 158,Tamil Nadu,Tier 2,Private,Mechanical Engineering,5887,9.39,883838,98.32,64,70.19,10.75
159,University 159,Karnataka,Tier 3,Government,Computer Science,2001,7.11,536495,76.13,165,22.58,21.71
159,University 159,Karnataka,Tier 2,Government,Electrical Engineering,8549,6.51,1359165,81.61,141,34.23,11.61
159,University 159,Delhi,Tier 3,Private,Mechanical Engineering,9479,7.52,874887,81.9,25,39.51,10.59
160,University 160,Tamil Nadu,Tier 2,Government,Computer Science,5906,9.42,845726,75.81,60,32.65,22.86
160,University 160,Tamil Nadu,Tier 2,Government,Electrical Engineering,5051,7.34,1171158,70.64,22,79.86,12.87
160,University 160,Maharashtra,Tier 2,Government,Mechanical Engineering,2814,6.23,385166,76.79,135,52.79,16.26
161,University 161,Karnataka,Tier 2,Government,Computer Science,8415,7.46,1743401,95.92,77,40.43,22.07
161,University 161,Maharashtra,Tier 2,Government,Electrical Engineering,9307,7.17,932585,69.35,30,69.81,24.22
161,University 161,Maharashtra,Tier 2,Private,Mechanical Engineering,7401,9.24,1132297,97.08,94,45.2,10.15
162,University 162,Tamil Nadu,Tier 1,Government,Computer Science,2881,9.31,1869720,91.49,194,34.87,20.47
162,University 162,Karnataka,Tier 1,Private,Electrical Engineering,6877,7.9,1746714,81.41,98,36.29,23.56
162,University 162,Karnataka,Tier 1,Private,Mechanical Engineering,1016,6.78,1037744,69.04,27,75.82,11.43
163,University 163,Karnataka,Tier 2,Government,Computer Science,7543,7.16,1153062,62.05,143,65.55,20.91
163,University 163,Karnataka,Tier 3,Private,Electrical Engineering,6555,6.56,1238601,68.34,184,65.61,12.31
163,University 163,Karnataka,Tier 1,Private,Mechanical Engineering,5926,7.26,1384309,65.02,165,23.4,10.52
164,University 164,Delhi,Tier 3,Government,Computer Science,2909,6.91,1777141,73.49,130,37.84,13.45
164,University 164,Tamil Nadu,Tier 2,Private,Electrical Engineering,7382,8.77,1333224,81.82,69,43.82,12.34
164,University 164,Tamil Nadu,Tier 1,Private,Mechanical Engineering,2859,6.95,1051393,61.2,156,29.37,24.83
165,University 165,Tamil Nadu,Tier 2,Private,Computer Science,6308,8.23,1636926,78.71,85,46.06,16.7
165,University 165,Uttar Pradesh,Tier 1,Private,Electrical Engineering,1143,8.26,707974,97.38,126,36.74,11.94
165,University 165,Delhi,Tier 3,Private,Mechanical Engineering,9497,6.89,1360560,95.6,111,31.7,19.78
166,University 166,Delhi,Tier 2,Government,Computer Science,6505,8.11,1603659,62.44,59,25.6,24.46
166,University 166,Tamil Nadu,Tier 3,Private,Electrical Engineering,3842,8.08,827297,90.63,149,54.52,16.44
166,University 166,Karnataka,Tier 1,Private,Mechanical Engineering,5873,8.42,682688,85.01,124,59.13,13.77
167,University 167,Delhi,Tier 2,Government,Computer Science,5563,8.45,985338,89.37,181,31.01,18.91
167,University 167,Karnataka,Tier 1,Private,Electrical Engineering,2881,6.05,539455,92.27,195,21.67,19.47
